project_id,mp_id,mp_name,state,constituency,mp_type,parliamentary_term,district,block,village,sector,sub_sector,project_name,recommended_amount,sanctioned_amount,funds_released,expenditure,unspent_balance,start_date,expected_completion_date,reported_progress_pct,work_status,data_type,risk_score,risk_level,cost_anomaly_score,progress_anomaly_score,delay_risk_score,duplicate_similarity_score,risk_reasons,risk_last_updated
P00657,MP040,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,District E,Block 5,Village Epsilon,Education,Classrooms,Classrooms Improvement at Village Epsilon,1491000,1565000,1010000,447000,563000,2022-10-28,2024-09-04,48.3,Stalled,SYNTHETIC_DEMO,36.7,LOW,65.97,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00658,MP047,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,District D,Block 4,Village Delta,Community Assets,Community Halls,Community Halls Improvement at Village Delta,937000,959000,586000,410000,176000,2025-02-06,2025-05-09,70.8,Stalled,SYNTHETIC_DEMO,21.4,LOW,16.438,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00659,MP054,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,District D,Block 4,Village Delta,Roads,Village Roads,Village Roads Improvement at Village Delta,547000,528000,524000,212000,312000,2022-07-04,2024-01-28,63.9,Stalled,SYNTHETIC_DEMO,20.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00660,MP001,Amit Sharma,Maharashtra,Pune East,Rajya Sabha,18,District C,Block 3,Village Gamma,Education,Laboratories,Laboratories Improvement at Village Gamma,1021000,1063000,822000,183000,639000,2023-04-02,2023-08-06,20.8,Stalled,SYNTHETIC_DEMO,24.2,LOW,15.202,1.755,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00661,MP008,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District D,Block 4,Village Delta,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Delta,660000,638000,534000,280000,254000,2024-01-20,2024-12-29,70.3,Stalled,SYNTHETIC_DEMO,12.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00662,MP015,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District E,Block 5,Village Epsilon,Health,Community Clinics,Community Clinics Improvement at Village Epsilon,744000,762000,623000,262000,361000,2022-09-07,2024-07-13,51.6,Stalled,SYNTHETIC_DEMO,15.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00663,MP022,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District C,Block 3,Village Gamma,Education,School Buildings,School Buildings Improvement at Village Gamma,341000,320000,189000,96000,93000,2023-04-03,2024-02-15,63.5,Stalled,SYNTHETIC_DEMO,18.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00664,MP029,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District G,Block 7,Village Eta,Electricity,Street Lighting,Street Lighting Improvement at Village Eta,2274000,2135000,1183000,357000,826000,2022-08-20,2024-03-08,77.2,Stalled,SYNTHETIC_DEMO,52.9,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00665,MP036,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District E,Block 5,Village Epsilon,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Epsilon,3906000,3808000,3325000,2153000,1172000,2024-01-31,2024-07-27,84.4,Stalled,SYNTHETIC_DEMO,49.9,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00666,MP043,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District A,Block 1,Village Alpha,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Alpha,577000,578000,534000,204000,330000,2024-04-25,2025-02-14,39.0,Stalled,SYNTHETIC_DEMO,19.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00667,MP050,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District D,Block 4,Village Delta,Education,Libraries,Libraries Improvement at Village Delta,689000,678000,435000,248000,187000,2024-11-06,2026-02-16,84.3,Delayed,SYNTHETIC_DEMO,6.8,LOW,0.0,0.0,53.973,0.0,Project duration/status indicates delay risk,2026-09-01
P00668,MP057,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District D,Block 4,Village Delta,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Delta,1348000,1326000,844000,673000,171000,2026-05-10,2028-02-18,75.3,Ongoing,SYNTHETIC_DEMO,13.5,LOW,40.13,5.327,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00669,MP004,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District C,Block 3,Village Gamma,Electricity,Solar Lighting,Solar Lighting Improvement at Village Gamma,796000,787000,657000,300000,357000,2022-04-14,2023-09-05,40.9,Stalled,SYNTHETIC_DEMO,26.7,LOW,0.0,5.715,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00670,MP011,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District F,Block 6,Village Zeta,Roads,Internal Roads,Internal Roads Improvement at Village Zeta,2334000,2214000,1382000,652000,730000,2025-10-24,2026-01-31,53.5,Stalled,SYNTHETIC_DEMO,41.0,MEDIUM,95.793,0.0,58.356,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00671,MP018,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,District G,Block 7,Village Eta,Education,School Buildings,School Buildings Improvement at Village Eta,1156000,1076000,1069000,529000,540000,2026-04-29,2027-06-07,25.7,Ongoing,SYNTHETIC_DEMO,10.0,LOW,29.668,28.543,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00672,MP025,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,District D,Block 4,Village Delta,Roads,Internal Roads,Internal Roads Improvement at Village Delta,1217000,1158000,1011000,214000,797000,2024-08-07,2026-03-23,27.6,Delayed,SYNTHETIC_DEMO,7.0,LOW,10.356,0.0,44.384,0.0,Project duration/status indicates delay risk,2026-09-01
P00673,MP032,Rahul Singh,Karnataka,Mysuru,Lok Sabha,18,District E,Block 5,Village Epsilon,Roads,Internal Roads,Internal Roads Improvement at Village Epsilon,2462000,2371000,1569000,586000,983000,2022-10-08,2023-02-19,55.1,Stalled,SYNTHETIC_DEMO,52.4,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00674,MP039,Kavita Mehta,Bihar,Muzaffarpur,Lok Sabha,18,District F,Block 6,Village Zeta,Water Supply,Community Water Points,Community Water Points Improvement at Village Zeta,349000,322000,305000,206000,99000,2024-10-25,2025-04-19,79.5,Stalled,SYNTHETIC_DEMO,19.1,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00675,MP046,Amit Sharma,Uttar Pradesh,Lucknow East,Rajya Sabha,18,District C,Block 3,Village Gamma,Sanitation,Public Toilets,Public Toilets Improvement at Village Gamma,396000,407000,251000,157000,94000,2025-10-27,2026-05-13,75.9,Delayed,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,0.0,30.411,0.0,Project duration/status indicates delay risk,2026-09-01
P00676,MP053,Suresh Joshi,Rajasthan,Kota,Lok Sabha,18,District C,Block 3,Village Gamma,Roads,Village Roads,Village Roads Improvement at Village Gamma,467000,476000,436000,171000,265000,2025-12-17,2026-07-28,38.2,Ongoing,SYNTHETIC_DEMO,0.0,LOW,0.0,1.224,9.589,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00677,MP060,Deepak Nair,Telangana,Nizamabad,Lok Sabha,18,District E,Block 5,Village Epsilon,Water Supply,Borewells,Borewells Improvement at Village Epsilon,1306000,1354000,1298000,842000,456000,2024-01-06,2025-05-12,58.9,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,41.898,7.163,100.0,95.6,Project duration/status indicates delay risk | Potential duplicate/near-duplicate project detected,2026-09-01
P00678,MP007,Vikram Singh,Tamil Nadu,Coimbatore,Lok Sabha,18,District F,Block 6,Village Zeta,Community Assets,Public Shelters,Public Shelters Improvement at Village Zeta,939000,870000,537000,287000,250000,2024-10-14,2025-10-17,32.4,Stalled,SYNTHETIC_DEMO,22.9,LOW,1.166,25.254,87.397,0.0,Project duration/status indicates delay risk,2026-09-01
P00679,MP014,Manoj Mehta,West Bengal,Howrah,Lok Sabha,18,District D,Block 4,Village Delta,Water Supply,Pipelines,Pipelines Improvement at Village Delta,1682000,1557000,957000,653000,304000,2023-01-04,2024-11-22,67.1,Stalled,SYNTHETIC_DEMO,35.3,LOW,52.247,1.361,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00680,MP021,Neha Sharma,Maharashtra,Nashik Central,Rajya Sabha,18,District B,Block 2,Village Beta,Roads,Internal Roads,Internal Roads Improvement at Village Beta,906000,888000,688000,323000,365000,2023-03-03,2024-09-03,56.2,Stalled,SYNTHETIC_DEMO,16.6,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00681,MP028,Pooja Joshi,Odisha,Bhubaneswar,Lok Sabha,18,District G,Block 7,Village Eta,Health,Community Clinics,Community Clinics Improvement at Village Eta,3262000,3064000,2579000,1914000,665000,2022-12-04,2024-09-02,65.6,Stalled,SYNTHETIC_DEMO,56.3,MEDIUM,100.0,10.338,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00682,MP035,Ravi Nair,Gujarat,Surat Rural,Lok Sabha,18,District H,Block 8,Village Theta,Education,Classrooms,Classrooms Improvement at Village Theta,533000,534000,355000,182000,173000,2023-12-23,2025-07-09,59.7,Stalled,SYNTHETIC_DEMO,19.1,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00683,MP042,Nitin Singh,Karnataka,Hubballi,Lok Sabha,18,District B,Block 2,Village Beta,Education,School Buildings,School Buildings Improvement at Village Beta,507000,494000,461000,257000,204000,2023-02-17,2024-03-24,52.7,Stalled,SYNTHETIC_DEMO,23.3,LOW,0.0,3.658,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00684,MP049,Anita Mehta,Bihar,Patna Rural,Lok Sabha,18,District D,Block 4,Village Delta,Electricity,Street Lighting,Street Lighting Improvement at Village Delta,700000,653000,542000,241000,301000,2024-02-01,2024-09-29,83.4,Stalled,SYNTHETIC_DEMO,15.2,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00685,MP056,Meena Sharma,Uttar Pradesh,Varanasi Rural,Rajya Sabha,18,District F,Block 6,Village Zeta,Roads,Internal Roads,Internal Roads Improvement at Village Zeta,1379000,1291000,1213000,774000,439000,2024-06-20,2026-02-25,70.2,Delayed,SYNTHETIC_DEMO,23.6,LOW,21.117,0.0,51.507,0.0,Project duration/status indicates delay risk,2026-09-01
P00686,MP003,Priya Joshi,Rajasthan,Udaipur,Lok Sabha,18,District E,Block 5,Village Epsilon,Roads,Bridges,Bridges Improvement at Village Epsilon,456000,465000,465000,409000,56000,2023-03-23,2023-07-22,34.7,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,63.908,100.0,0.0,Expenditure is high relative to reported progress | Project duration/status indicates delay risk,2026-09-01
P00687,MP010,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,District D,Block 4,Village Delta,Health,Health Infrastructure,Health Infrastructure Improvement at Village Delta,250000,258000,199000,83000,116000,2022-10-11,2024-04-26,52.5,Stalled,SYNTHETIC_DEMO,12.4,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00688,MP017,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,District B,Block 2,Village Beta,Roads,Internal Roads,Internal Roads Improvement at Village Beta,872000,840000,840000,734000,106000,2022-04-25,2022-09-25,30.9,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,67.777,100.0,0.0,Expenditure is high relative to reported progress | Project duration/status indicates delay risk,2026-09-01
P00689,MP024,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,District C,Block 3,Village Gamma,Electricity,Solar Lighting,Solar Lighting Improvement at Village Gamma,750000,783000,538000,279000,259000,2023-05-11,2024-09-22,90.3,Stalled,SYNTHETIC_DEMO,21.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00690,MP031,Amit Sharma,Maharashtra,Pune East,Rajya Sabha,18,District E,Block 5,Village Epsilon,Education,School Buildings,School Buildings Improvement at Village Epsilon,693000,687000,548000,263000,285000,2022-09-01,2022-12-22,90.2,Stalled,SYNTHETIC_DEMO,14.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00691,MP038,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District H,Block 8,Village Theta,Roads,Internal Roads,Internal Roads Improvement at Village Theta,751000,1701000,1012000,158000,854000,2022-12-20,2023-06-22,33.9,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,54.288,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00692,MP045,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District B,Block 2,Village Beta,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Beta,716000,711000,457000,245000,212000,2022-06-27,2024-01-10,48.5,Stalled,SYNTHETIC_DEMO,23.2,LOW,0.0,6.133,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00693,MP052,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District G,Block 7,Village Eta,Roads,Internal Roads,Internal Roads Improvement at Village Eta,1340000,1255000,791000,265000,526000,2026-04-23,2027-08-30,45.2,Ongoing,SYNTHETIC_DEMO,4.7,LOW,18.204,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00694,MP059,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District G,Block 7,Village Eta,Health,Health Centres,Health Centres Improvement at Village Eta,783000,792000,670000,456000,214000,2026-01-29,2027-07-09,53.0,Ongoing,SYNTHETIC_DEMO,7.1,LOW,1.445,18.072,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00695,MP006,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District D,Block 4,Village Delta,Water Supply,Borewells,Borewells Improvement at Village Delta,1306000,1288000,882000,540000,342000,2023-04-19,2024-04-24,82.6,Stalled,SYNTHETIC_DEMO,28.0,LOW,35.794,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00696,MP013,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District C,Block 3,Village Gamma,Education,Laboratories,Laboratories Improvement at Village Gamma,347000,323000,180000,129000,51000,2022-06-10,2024-05-28,75.4,Stalled,SYNTHETIC_DEMO,11.0,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00697,MP020,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District E,Block 5,Village Epsilon,Sanitation,Waste Management,Waste Management Improvement at Village Epsilon,250000,234000,221000,113000,108000,2025-01-16,2026-06-11,52.3,Ongoing,SYNTHETIC_DEMO,8.4,LOW,0.0,0.0,22.466,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00698,MP027,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District A,Block 1,Village Alpha,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Alpha,388000,405000,328000,82000,246000,2022-09-27,2023-10-08,50.2,Stalled,SYNTHETIC_DEMO,23.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00699,MP034,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District G,Block 7,Village Eta,Health,Medical Equipment,Medical Equipment Improvement at Village Eta,1569000,1471000,1362000,639000,723000,2023-05-14,2025-01-31,87.5,Stalled,SYNTHETIC_DEMO,48.7,MEDIUM,62.426,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00700,MP041,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District G,Block 7,Village Eta,Water Supply,Pipelines,Pipelines Improvement at Village Eta,520000,511000,375000,173000,202000,2026-03-31,2027-07-01,50.2,Ongoing,SYNTHETIC_DEMO,0.0,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00701,MP048,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,District F,Block 6,Village Zeta,Health,Health Infrastructure,Health Infrastructure Improvement at Village Zeta,397000,375000,260000,76000,184000,2025-06-02,2027-01-27,70.3,Ongoing,SYNTHETIC_DEMO,3.0,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00702,MP055,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,District C,Block 3,Village Gamma,Education,Laboratories,Laboratories Improvement at Village Gamma,763000,782000,707000,387000,320000,2023-04-04,2023-07-29,57.8,Stalled,SYNTHETIC_DEMO,12.1,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00703,MP002,Rahul Singh,Karnataka,Mysuru,Lok Sabha,18,District A,Block 1,Village Alpha,Education,Classrooms,Classrooms Improvement at Village Alpha,512000,487000,452000,323000,129000,2023-10-28,2023-08-08,64.5,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,8.352,100.0,0.0,Project duration/status indicates delay risk | Date inconsistency detected,2026-09-01
P00704,MP009,Kavita Mehta,Bihar,Muzaffarpur,Lok Sabha,18,District F,Block 6,Village Zeta,Electricity,Solar Pumps,Solar Pumps Improvement at Village Zeta,677000,680000,402000,151000,251000,2025-07-10,2026-06-03,81.6,Delayed,SYNTHETIC_DEMO,6.9,LOW,0.0,0.0,24.658,0.0,Project duration/status indicates delay risk,2026-09-01
P00705,MP016,Amit Sharma,Uttar Pradesh,Lucknow East,Rajya Sabha,18,District D,Block 4,Village Delta,Water Supply,Pipelines,Pipelines Improvement at Village Delta,297000,303000,276000,235000,41000,2025-12-06,2026-11-07,15.1,Ongoing,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,84.054,0.0,0.0,Expenditure is high relative to reported progress,2026-09-01
P00706,MP023,Suresh Joshi,Rajasthan,Kota,Lok Sabha,18,District D,Block 4,Village Delta,Education,School Buildings,School Buildings Improvement at Village Delta,347000,351000,223000,151000,72000,2025-06-23,2026-10-23,53.7,Ongoing,SYNTHETIC_DEMO,7.3,LOW,0.0,16.816,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00707,MP030,Deepak Nair,Telangana,Nizamabad,Lok Sabha,18,District C,Block 3,Village Gamma,Education,Classrooms,Classrooms Improvement at Village Gamma,636000,1192000,850000,407000,443000,2023-07-29,2025-06-24,82.3,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,30.385,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00708,MP037,Vikram Singh,Tamil Nadu,Coimbatore,Lok Sabha,18,District A,Block 1,Village Alpha,Education,Libraries,Libraries Improvement at Village Alpha,427000,429000,403000,255000,148000,2026-03-11,2027-06-04,78.9,Ongoing,SYNTHETIC_DEMO,1.2,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00709,MP044,Manoj Mehta,West Bengal,Howrah,Lok Sabha,18,District D,Block 4,Village Delta,Sanitation,Waste Management,Waste Management Improvement at Village Delta,1192000,1208000,711000,327000,384000,2025-01-03,2026-10-10,63.7,Ongoing,SYNTHETIC_DEMO,7.5,LOW,22.187,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00710,MP051,Neha Sharma,Maharashtra,Nashik Central,Rajya Sabha,18,District H,Block 8,Village Theta,Education,Classrooms,Classrooms Improvement at Village Theta,463000,459000,380000,263000,117000,2022-06-17,2022-12-16,66.1,Stalled,SYNTHETIC_DEMO,27.9,LOW,0.0,3.733,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00711,MP058,Pooja Joshi,Odisha,Bhubaneswar,Lok Sabha,18,District D,Block 4,Village Delta,Roads,Internal Roads,Internal Roads Improvement at Village Delta,893000,935000,555000,206000,349000,2022-05-11,2024-01-30,92.3,Stalled,SYNTHETIC_DEMO,27.3,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00712,MP005,Ravi Nair,Gujarat,Surat Rural,Lok Sabha,18,District F,Block 6,Village Zeta,Health,Health Centres,Health Centres Improvement at Village Zeta,2052000,2034000,1660000,414000,1246000,2025-09-09,2026-07-02,27.4,Ongoing,SYNTHETIC_DEMO,31.0,LOW,100.0,0.0,16.712,0.0,Cost unusually high relative to peer projects,2026-09-01
P00713,MP012,Nitin Singh,Karnataka,Hubballi,Lok Sabha,18,District F,Block 6,Village Zeta,Electricity,Solar Lighting,Solar Lighting Improvement at Village Zeta,1041000,1061000,924000,659000,265000,2026-04-08,2027-01-04,60.5,Ongoing,SYNTHETIC_DEMO,14.5,LOW,23.45,12.984,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00714,MP019,Anita Mehta,Bihar,Patna Rural,Lok Sabha,18,District A,Block 1,Village Alpha,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Alpha,1013000,992000,609000,446000,163000,2022-05-15,2023-01-11,70.6,Stalled,SYNTHETIC_DEMO,25.5,LOW,11.089,3.162,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00715,MP026,Meena Sharma,Uttar Pradesh,Varanasi Rural,Rajya Sabha,18,District C,Block 3,Village Gamma,Sanitation,Waste Management,Waste Management Improvement at Village Gamma,582000,590000,407000,197000,210000,2025-03-13,2026-06-19,72.0,Ongoing,SYNTHETIC_DEMO,0.0,LOW,0.0,0.0,20.274,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00716,MP033,Priya Joshi,Rajasthan,Udaipur,Lok Sabha,18,District G,Block 7,Village Eta,Roads,Bridges,Bridges Improvement at Village Eta,250000,244000,176000,117000,59000,2025-07-14,2026-01-23,96.5,Stalled,SYNTHETIC_DEMO,9.3,LOW,0.0,0.0,60.548,0.0,Project duration/status indicates delay risk,2026-09-01
P00717,MP040,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,District F,Block 6,Village Zeta,Education,Libraries,Libraries Improvement at Village Zeta,409000,391000,379000,180000,199000,2023-01-05,2023-09-13,44.9,Stalled,SYNTHETIC_DEMO,30.1,LOW,0.0,3.112,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00718,MP047,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,District H,Block 8,Village Theta,Community Assets,Market Sheds,Market Sheds Improvement at Village Theta,1674000,1651000,1314000,566000,748000,2025-11-20,2027-01-08,55.2,Ongoing,SYNTHETIC_DEMO,27.9,LOW,88.217,0.0,0.0,0.0,Cost unusually high relative to peer projects,2026-09-01
P00719,MP054,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,District D,Block 4,Village Delta,Water Supply,Borewells,Borewells Improvement at Village Delta,581000,537000,469000,198000,271000,2025-12-24,2027-11-17,88.9,Ongoing,SYNTHETIC_DEMO,4.0,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00720,MP001,Amit Sharma,Maharashtra,Pune East,Rajya Sabha,18,District G,Block 7,Village Eta,Electricity,Solar Lighting,Solar Lighting Improvement at Village Eta,923000,872000,660000,435000,225000,2023-12-20,2025-01-14,62.8,Stalled,SYNTHETIC_DEMO,21.4,LOW,4.428,3.731,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00721,MP008,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District A,Block 1,Village Alpha,Water Supply,Water Tanks,Water Tanks Improvement at Village Alpha,553000,528000,523000,392000,131000,2026-03-08,2028-01-13,70.0,Ongoing,SYNTHETIC_DEMO,0.0,LOW,0.0,5.943,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00722,MP015,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District C,Block 3,Village Gamma,Health,Health Centres,Health Centres Improvement at Village Gamma,904000,945000,750000,392000,358000,2025-08-16,2026-10-05,71.1,Ongoing,SYNTHETIC_DEMO,5.5,LOW,17.823,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00723,MP022,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District B,Block 2,Village Beta,Electricity,Solar Lighting,Solar Lighting Improvement at Village Beta,789000,773000,628000,271000,357000,2025-01-11,2025-09-02,32.6,Stalled,SYNTHETIC_DEMO,22.0,LOW,0.0,12.663,99.726,0.0,Project duration/status indicates delay risk,2026-09-01
P00724,MP029,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District D,Block 4,Village Delta,Education,School Buildings,School Buildings Improvement at Village Delta,392000,378000,367000,125000,242000,2024-03-11,2025-05-02,49.5,Stalled,SYNTHETIC_DEMO,14.0,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00725,MP036,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District F,Block 6,Village Zeta,Water Supply,Pipelines,Pipelines Improvement at Village Zeta,3687000,7724000,6922000,2107000,4815000,2024-10-01,2025-01-10,68.0,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00726,MP043,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District D,Block 4,Village Delta,Education,Classrooms,Classrooms Improvement at Village Delta,971000,981000,977000,820000,157000,2026-02-18,2026-07-27,91.2,Ongoing,SYNTHETIC_DEMO,7.9,LOW,10.256,0.0,9.863,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00727,MP050,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District H,Block 8,Village Theta,Education,Libraries,Libraries Improvement at Village Theta,1431000,2734000,2268000,702000,1566000,2026-04-15,2026-07-15,71.9,Delayed,SYNTHETIC_DEMO,65.0,MEDIUM,100.0,0.0,13.151,97.1,Cost unusually high relative to peer projects | Project duration/status indicates delay risk | Potential duplicate/near-duplicate project detected,2026-09-01
P00728,MP057,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District C,Block 3,Village Gamma,Roads,Drainage Roads,Drainage Roads Improvement at Village Gamma,1442000,4093000,1183000,458000,725000,2026-05-10,2027-10-11,78.8,Ongoing,SYNTHETIC_DEMO,65.0,MEDIUM,100.0,0.0,0.0,0.0,Cost unusually high relative to peer projects,2026-09-01
P00729,MP004,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District H,Block 8,Village Theta,Water Supply,Community Water Points,Community Water Points Improvement at Village Theta,1445000,1473000,1145000,584000,561000,2024-05-15,2025-08-07,71.8,Stalled,SYNTHETIC_DEMO,39.5,LOW,61.761,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00730,MP011,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District B,Block 2,Village Beta,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Beta,860000,809000,790000,425000,365000,2024-12-07,2026-10-19,34.0,Ongoing,SYNTHETIC_DEMO,7.2,LOW,0.0,23.757,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
